title,category,action,listed_price,suggested_price,days_active,reason
Iamgia Elvira Black Long Sleeve Top,tops,HOLD,20.0,20.0,18.0,"18d, price looks competitive"
Bitgy Y2K Cargo Pants Light Gray Baggy,bottoms,REPRICE,22.0,20.0,24.0,24d + top 39% — drop to $20.0
Cream White Heart Cross Chrome Ribbed Beanie,accessories,REPRICE,16.0,14.0,24.0,24d + top 32% — drop to $14.0
Abercrombie Fitch Gray Soft A&F Max Essentials Zip Up Hoodie,outerwear,HOLD,21.0,21.0,23.0,"23d, price looks competitive"
Bitgy Y2K Cargo Pants Dark Brown Baggy,bottoms,HOLD,15.0,15.0,23.0,"23d, price looks competitive"
Iamgia XOLA Long Sleeve Mini Dress Cream,dresses,REPRICE,60.0,54.0,23.0,23d + top 8% — drop to $54.0
Iamgia ZION Cardigan Grey Zip Up Hoodie,tops,REPRICE,40.0,36.0,23.0,23d + top 14% — drop to $36.0
Sweet Chilling One Moment Mini Dress Gray,dresses,REPRICE,55.0,50.0,23.0,23d + top 10% — drop to $50.0
Blue Cotton T-Shirt Slim Fit,tops,HOLD,14.0,14.0,23.0,"23d, price looks competitive"
Brandy Melville Christy Olive Green Zip Up Hoodie,tops,REPRICE,21.0,19.0,23.0,23d + top 31% — drop to $19.0
Miss Me Nessa Low Rise Bootcut Jeans,bottoms,REPRICE,45.0,40.0,31.0,31d + top 9% — drop to $40.0
True Religion Joey Low Rise Flare Jean,bottoms,REPRICE,80.0,72.0,40.0,40d + top 2% — drop to $72.0
Textured Cream Tan Ruched Tie Up Side Tube Top,tops,HOLD,8.0,8.0,52.0,"52d, price looks competitive"
Brandy Melville John Galt Keira Duck Boxer Shorts,bottoms,HOLD,8.0,8.0,46.0,"46d, price looks competitive"
Brandy Melville Skylar Cream Lace Tank Top,tops,HOLD,6.0,6.0,46.0,"46d, price looks competitive"
Brandy Melville John Galt White Red Heart Print Cami Tank,tops,HOLD,6.0,6.0,46.0,"46d, price looks competitive"
Skims Outdoor Mid Thigh Onesie Jumpsuit Washed Onyx,jumpsuits,RELIST,28.0,22.0,52.0,52d + above median — relist at $22.0
Jacquard Fabric Designer Navy Blue Dior Monogram,other,HOLD,14.9,14.9,53.0,"53d, price looks competitive"
Jacquard Fabric Designer Navy Blue Dior Monogram,other,HOLD,14.0,14.0,64.0,"64d, price looks competitive"
